Actual_DO,Actual_pH,Actual_BOD,Pred_DO,Pred_pH,Pred_BOD,Actual_WQI,Predicted_WQI,Actual_Class,Predicted_Class
8.2,8.4,2.6,8.298214,8.097691,2.661258,94.0,94.0,Excellent,Excellent
8.0,8.4,2.6,8.466602,8.233558,2.6617856,94.0,94.0,Excellent,Excellent
8.0,7.8,2.2,8.376581,8.223084,2.6271124,94.0,94.0,Excellent,Excellent
8.4,8.2,2.6,8.283235,8.0855875,2.4751253,94.0,94.0,Excellent,Excellent
8.2,8.4,2.4,8.601197,8.203758,2.6432023,94.0,94.0,Excellent,Excellent
8.6,8.2,2.4,8.5456705,8.244861,2.5527108,94.0,94.0,Excellent,Excellent
8.4,8.2,2.6,8.759661,8.226184,2.5383005,94.0,94.0,Excellent,Excellent
8.6,8.2,2.6,8.6176,8.205933,2.6335073,94.0,94.0,Excellent,Excellent
8.5,8.3,2.8,8.740393,8.222899,2.6339514,94.0,94.0,Excellent,Excellent
9.2,7.2,1.8,8.67887,8.231503,2.7247086,100.0,94.0,Excellent,Excellent
9.8,7.1,1.6,8.817832,7.389257,2.0983741,100.0,94.0,Excellent,Excellent
9.1,7.2,1.7,9.546232,7.177932,1.5609078,100.0,100.0,Excellent,Excellent
9.8,7.1,1.8,8.714779,7.39108,1.8932545,100.0,100.0,Excellent,Excellent
9.0,7.2,1.6,9.68112,7.182004,1.499465,100.0,100.0,Excellent,Excellent
8.2,7.5,2.6,8.615721,7.440194,1.7774041,94.0,100.0,Excellent,Excellent
8.4,7.7,2.6,8.01019,7.736023,2.4110985,94.0,94.0,Excellent,Excellent
8.6,7.8,2.4,8.385779,7.6819344,2.29299,94.0,94.0,Excellent,Excellent
7.6,7.9,2.6,8.71403,7.6893244,2.1213753,86.0,94.0,Good,Excellent
7.9,8.0,2.4,8.016636,7.63527,2.3489406,86.0,94.0,Good,Excellent
7.5,7.6,2.4,8.152577,7.5816,2.1970937,86.0,94.0,Good,Excellent
7.6,7.7,1.4,7.8023663,7.6205134,2.3055077,92.0,86.0,Excellent,Good
7.6,7.5,1.6,7.690922,7.6001945,1.6726887,92.0,92.0,Excellent,Excellent
7.6,7.5,1.4,7.7586794,7.5910707,1.753185,92.0,92.0,Excellent,Excellent
7.5,7.6,1.2,7.6886563,7.57928,1.6579124,92.0,92.0,Excellent,Excellent
7.4,7.6,1.4,7.4878807,7.576662,1.5666208,92.0,92.0,Excellent,Excellent
7.6,7.5,1.6,7.406896,7.582365,1.6788938,92.0,92.0,Excellent,Excellent
6.4,7.6,1.4,7.6051917,7.5861797,1.7723773,92.0,92.0,Excellent,Excellent
6.9,7.6,1.4,6.6472197,7.6687007,1.9484643,92.0,92.0,Excellent,Excellent
7.0,7.8,1.2,6.977973,7.624642,1.7804725,92.0,92.0,Excellent,Excellent
6.7,7.6,1.6,6.981635,7.654497,1.6650712,92.0,92.0,Excellent,Excellent
6.7,7.5,1.2,6.9333305,7.5830913,1.695929,92.0,92.0,Excellent,Excellent
6.7,7.5,1.2,6.9675975,7.5469494,1.5326401,92.0,92.0,Excellent,Excellent
6.9,7.5,1.4,6.974456,7.546935,1.5071896,92.0,92.0,Excellent,Excellent
